dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,timestamp,selected_values,filtered_values,triggered_action
1,1,2,False,1,007edec7-1cfb-4004-8040-237c51a09307,False,3,1656683185569,Year.Year<categorical>,,Root
1,1,2,False,1,007edec7-1cfb-4004-8040-237c51a09307,False,3,1656683188712,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected
1,1,2,False,1,007edec7-1cfb-4004-8040-237c51a09307,False,3,1656683194992,"NewHiresByRegion.Region<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,"New Hires by Region (clusteredBarChart) - Region: North, North selected"
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742186768,Year.Year<categorical>,,Root
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742197600,Year.Year<categorical>,,Year (slicer) - Year: 2014 selected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742208748,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742249018,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Month (Full-Time/Part-Time) (lineChart) - deselected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742251835,"NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Month (Full-Time/Part-Time) (lineChart) - FPDesc: Full-Time selected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742252149,"NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Month (Full-Time/Part-Time) (lineChart) - FPDesc: Full-Time selected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742252536,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Month (Full-Time/Part-Time) (lineChart) - deselected
1,1,3,False,2,00f7ffd3-5ed9-41ed-be64-568ef8ad1979,False,9,1656742255256,"NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Month (Full-Time/Part-Time) (lineChart) - FPDesc: Part-Time selected
